hotel_name,hotel_url,hotel_location,group_label,brand_label,group_type,lat,lon,formatted_address,provider,confidence,place_id,types,partial_match,status
"Taj Exotica Resort & Spa, Goa",https://www.americanexpress.com/en-us/travel/discover/property/India/Benaulim/Taj-Exotica-Resort--Spa-Goa?intlink=US-travel-discover-property-results-propertyCard-Taj-Exotica-Resort--Spa-Goa,"Benaulim, India",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,15.2452367,73.9248133,"Beach Road, Calwaddo, Benaulim, Goa 403716, India",google_places,PLACE_DETAILS,ChIJiVbna6ywvzsRaASo1KU8pzE,establishment;lodging;point_of_interest,False,CACHED
Taj Falaknuma Palace,https://www.americanexpress.com/en-us/travel/discover/property/India/Hyderabad/Taj-Falaknuma-Palace?intlink=US-travel-discover-property-results-propertyCard-Taj-Falaknuma-Palace,"Hyderabad, India",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,17.3314792,78.4674647,"Engine Bowli, Falaknuma, Hyderabad, Telangana 500053, India",google_places,PLACE_DETAILS,ChIJQSoXVFa9yzsRLgAgJMKw29M,establishment;lodging;point_of_interest,False,CACHED
Rambagh Palace,https://www.americanexpress.com/en-us/travel/discover/property/India/Jaipur/Rambagh-Palace?intlink=US-travel-discover-property-results-propertyCard-Rambagh-Palace,"Jaipur, India",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,26.8981053,75.8081498,"Bhawani Singh Rd, Rambagh, Jaipur, Rajasthan 302005, India",google_places,PLACE_DETAILS,ChIJxQqXeB-0bTkRHId_W2Lvng4,establishment;lodging;point_of_interest,False,CACHED
Umaid Bhawan Palace,https://www.americanexpress.com/en-us/travel/discover/property/India/Jodhpur/Umaid-Bhawan-Palace?intlink=US-travel-discover-property-results-propertyCard-Umaid-Bhawan-Palace,"Jodhpur, India",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,26.2810298,73.04730219999999,"Circuit House Rd, near Umaid Bhawan Museum, Cantt Area, Jodhpur, Rajasthan 342006, India",google_places,PLACE_DETAILS,ChIJ97NXLfqMQTkRcb6AeFAk0Mw,establishment;lodging;point_of_interest,False,CACHED
"The Taj Mahal Palace, Mumbai",https://www.americanexpress.com/en-us/travel/discover/property/India/Mumbai/The-Taj-Mahal-Palace-Mumbai?intlink=US-travel-discover-property-results-propertyCard-The-Taj-Mahal-Palace-Mumbai,"Mumbai, India",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,18.9216631,72.8332028,"Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",google_places,PLACE_DETAILS,ChIJ____b8DR5zsRVz_XpIUEKcA,establishment;lodging;point_of_interest,False,CACHED
Taj Mahal New Delhi,https://www.americanexpress.com/en-us/travel/discover/property/India/New-Delhi/Taj-Mahal-New-Delhi?intlink=US-travel-discover-property-results-propertyCard-Taj-Mahal-New-Delhi,"New Delhi, India",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,28.5950829,77.1709187,"2, Sardar Patel Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",google_places,PLACE_DETAILS,ChIJe4zp0KMdDTkRm90YLrHBVg8,establishment;lodging;point_of_interest,False,CACHED
"The Pierre, New York, a Taj Hotel",https://www.americanexpress.com/en-us/travel/discover/property/New-York-US/New-York/The-Pierre-New-York-a-Taj-Hotel?intlink=US-travel-discover-property-results-propertyCard-The-Pierre-New-York-a-Taj-Hotel,"New York, New York US",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,40.7651828,-73.9718937,"2 E 61st St, New York, NY 10065, USA",google_places,PLACE_DETAILS,ChIJBxesOvBYwokR519Koj1ulDY,establishment;lodging;point_of_interest,False,CACHED
"Taj Rishikesh Resort & Spa, Uttarakhand",https://www.americanexpress.com/en-us/travel/discover/property/India/Rishikesh/Taj-Rishikesh-Resort--Spa-Uttarakhand?intlink=US-travel-discover-property-results-propertyCard-Taj-Rishikesh-Resort--Spa-Uttarakhand,"Rishikesh, India",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,30.0577843,78.48217489999999,"Singthali, near Pebble Beach, Byasi, Rishikesh, Uttarakhand 249192, India",google_places,PLACE_DETAILS,ChIJ3XgX5iINCTkRqp6DMt5KMfM,establishment;lodging;point_of_interest;spa,False,CACHED
Taj Campton Place,https://www.americanexpress.com/en-us/travel/discover/property/California-US/San-Francisco/Taj-Campton-Place?intlink=US-travel-discover-property-results-propertyCard-Taj-Campton-Place,"San Francisco, California US",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,37.7893052,-122.4066335,"340 Stockton St, San Francisco, CA 94108, USA",google_places,PLACE_DETAILS,ChIJO-bVSYmAhYAR6pCDvKXVsn8,establishment;lodging;point_of_interest,False,CACHED
"Taj Exotica Resort & Spa, Maldives",https://www.americanexpress.com/en-us/travel/discover/property/Maldives/South-Malé-Atoll/Taj-Exotica-Resort--Spa-Maldives?intlink=US-travel-discover-property-results-propertyCard-Taj-Exotica-Resort--Spa-Maldives,"South Malé Atoll, Maldives",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,4.1009593,73.5261313,"Emboodhu Finolhu, South Male Atoll 02117, Maldives",google_places,PLACE_DETAILS,ChIJz5eYtll8PzsRuqMYMfx500c,establishment;lodging;point_of_interest,False,CACHED
"Taj Lake Palace, Udaipur",https://www.americanexpress.com/en-us/travel/discover/property/India/Udaipur/Taj-Lake-Palace-Udaipur?intlink=US-travel-discover-property-results-propertyCard-Taj-Lake-Palace-Udaipur,"Udaipur, India",FINE HOTELS + RESORTS,Taj Hotels Palaces Resorts Safaris,Program,24.5754433,73.6800308,"Lake Pichola, Pichola, Udaipur, Rajasthan 313004, India",google_places,PLACE_DETAILS,ChIJiwt_-OzvZzkRQ3QXDjqVCCc,establishment;lodging;point_of_interest,False,CACHED
Adare Manor,https://www.americanexpress.com/en-us/travel/discover/property/Ireland/Adare/Adare-Manor?intlink=US-travel-discover-property-results-propertyCard-Adare-Manor,"Adare, Ireland",FINE HOTELS + RESORTS,The Leading Hotels of the World,Program,52.5641133,-8.7778239,"Adare, Co. Limerick, V94 W8WR, Ireland",google_places,PLACE_DETAILS,ChIJseboCAxGW0gRV4g3qbkTedE,establishment;lodging;point_of_interest,False,CACHED
COMO Alpina Dolomites,https://www.americanexpress.com/en-us/travel/discover/property/Italy/Alpe-di-Siusi/Como-Alpina-Dolomites?intlink=US-travel-discover-property-results-propertyCard-Como-Alpina-Dolomites,"Alpe di Siusi, Italy",FINE HOTELS + RESORTS,The Leading Hotels of the World,Program,46.5427778,11.6155556,"Compatsch, 62/3, 39040 Alpe di Siusi BZ, Italy",google_places,PLACE_DETAILS,ChIJnxjCulVseEcRAgzDCQT2-bk,establishment;lodging;point_of_interest,False,CACHED
